Taqado Mexican Kitchen,https://deliveroo.ae/menu/dubai/al-maryah-island/taqado-mexican-kitchen-abu-dhabi?day=today&time=ASAP
SushiArt,https://deliveroo.ae/menu/dubai/al-maryah-island/sushi-art-galleria-mall?day=today&time=ASAP
KFC,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/kfc-tourist-club-area?day=today&time=ASAP
PF Chang's - Abu Dhabi Mall,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/pf-changs-abu-dhabi-mall?day=today&time=ASAP
Biryani Pot - Abu Dhabi,https://deliveroo.ae/menu/abu-dhabi/al-maryah-island/biryani-pot-abu-dhabi?day=today&time=ASAP
PAUL Bakery & Restaurant - Abu Dhabi Mall,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/paul-bakery-and-restaurant-abu-dhabi-mall?day=today&time=ASAP
Kababji Grill - Al Maryah,https://deliveroo.ae/menu/abu-dhabi/al-maryah-island/kababji-grill-al-maryah?day=today&time=ASAP
Pizza Hut,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/pizza-hut-abn?day=today&time=ASAP
Burger Fuel,https://deliveroo.ae/menu/dubai/al-maryah-island/burger-fuel-the-galleria?day=today&time=ASAP
Denny's ,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/dennys-abu-dhabi-mall?day=today&time=ASAP
Lemongrass Thai Restaurant,https://deliveroo.ae/menu/abu-dhabi/al-maryah-island/lemongrass-thai-restaurant-impulse-restaurant-llc?day=today&time=ASAP
Eat Greek ,https://deliveroo.ae/menu/abu-dhabi/al-maryah-island/eat-greek-the-galleria?day=today&time=ASAP
L'ETO Caffe,https://deliveroo.ae/menu/abu-dhabi/al-maryah-island/leto-caffe-abu-dhabi?day=today&time=ASAP
Caffe Nero ,https://deliveroo.ae/menu/abu-dhabi/al-maryah-island/caffe-nero-the-galleria-mall?day=today&time=ASAP
Costa Coffee ,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/costa-coffee-ramhan-tower?day=today&time=ASAP
Pokaï,https://deliveroo.ae/menu/abu-dhabi/al-maryah-island/pokai-galleria-mall?day=today&time=ASAP
Pizza Amore,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/pizza-amore-basic?day=today&time=ASAP
Dynamite Box,https://deliveroo.ae/menu/abu-dhabi/al-manhal/dynamite-box?day=today&time=ASAP
Bisco Sweet,https://deliveroo.ae/menu/abu-dhabi/al-danah/bisco-sweet?day=today&time=ASAP
M'OISHI,https://deliveroo.ae/menu/abu-dhabi/al-maryah-island/moishi-galleria-mall?day=today&time=ASAP
Burger King Tourist Club Area,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/burger-king-tourist-club-area?day=today&time=ASAP
Samurai Japanese Restaurant,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/samurai-japanese-restaurant-meena-branch-basic?day=today&time=ASAP
Royal Orchid - Galleria Mall,https://deliveroo.ae/menu/abu-dhabi/al-maryah-island/royal-orchid-galleria-mall?day=today&time=ASAP
Gossip Cafe and Desserts - Abu Dhabi,https://deliveroo.ae/menu/abu-dhabi/al-maryah-island/gossip-cafe-and-desserts-abu-dhabi?day=today&time=ASAP
Chili's - Abu Dhabi Mall,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/chilis-abu-dhabi-mall?day=today&time=ASAP
Jollibee ,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/jollibee-auh?day=today&time=ASAP
Dai Pai Dong,https://deliveroo.ae/menu/abu-dhabi/al-maryah-island/dai-pai-dong-rosewood?day=today&time=ASAP
Loca - Abu Dhabi,https://deliveroo.ae/menu/abu-dhabi/al-maryah-island/loca-abu-dhabi?day=today&time=ASAP
Leopold's of London,https://deliveroo.ae/menu/abu-dhabi/al-maryah-island/leopolds-of-london-galleria-mall?day=today&time=ASAP
Amorino - Abu Dhabi,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/amorino-abu-dhabi?day=today&time=ASAP
GBK - Abu Dhabi,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/gbk-abu-dhabi?day=today&time=ASAP
Almaz by Momo,https://deliveroo.ae/menu/dubai/al-maryah-island/almaz-by-momo?day=today&time=ASAP
TGIF - Tourist Club,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/tgif-tourist-club-ad?day=today&time=ASAP
Sambusek,https://deliveroo.ae/menu/abu-dhabi/al-maryah-island/sambusek?day=today&time=ASAP
Famous Daves - Abu Dhabi Mall,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/famous-daves-abu-dhabi-mall?day=today&time=ASAP
The Coffee Club - Liwa Oaks,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/the-coffee-club-liwa-oaks?day=today&time=ASAP
Samurai Japanese Restaurant,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/samurai-japanese-restaurant-meena-branch?day=today&time=ASAP
Mister Baker ,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/mister-baker-tourist-club?day=today&time=ASAP
Come and Eat,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/come-and-eat?day=today&time=ASAP
Cafeteria Mora,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/cafeteria-mora?day=today&time=ASAP
Curry Palace,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/curry-palace-al-zahiyah?day=today&time=ASAP
La Gustosa,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/la-gustosa-abu-dhabi?day=today&time=ASAP
Prego's Beach Rotana,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/pretos-beach-rotana?day=today&time=ASAP
Magnolia Bakery - Cakes,https://deliveroo.ae/menu/dubai/al-maryah-island/magnolia-bakery-cakes-abu-dhabi?day=today&time=ASAP
Hardee's - Abu Dhabi Mall,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/hardees-abu-dhabi-mall?day=today&time=ASAP
AbhiRuchi,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/abhiruchi-restaurant?day=today&time=ASAP
Tandoor House,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/tandoor-house?day=today&time=ASAP
Atrium Café ,https://deliveroo.ae/menu/abu-dhabi/al-maryah-island/atrium-cafe-cleveland-clinic?day=today&time=ASAP
Falafel Point,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/falafel-point-mina-st?day=today&time=ASAP
Leopold's of London - Corporate Platters ,https://deliveroo.ae/menu/abu-dhabi/al-maryah-island/leopolds-of-london-corporate-platters-galleria-mall?day=today&time=ASAP
The Library,https://deliveroo.ae/menu/abu-dhabi/al-zahiyah/the-library-abn?day=today&time=ASAP
Taqado El Jefe - Catering & Platters,https://deliveroo.ae/menu/abu-dhabi/al-maryah-island/taqado-fiesta-catering-and-platters-abu-dhabi?day=today&time=ASAP
Magnolia Bakery,https://deliveroo.ae/menu/dubai/al-maryah-island/magnolia-bakery-the-galleria?day=today&time=ASAP
